  input = module(input)
[0/70] mean_loss : 3.63
[0/70] mean_loss : 1.61
[1/70] mean_loss : 1.25
[1/70] mean_loss : 1.25
[2/70] mean_loss : 1.26
[2/70] mean_loss : 1.25
[3/70] mean_loss : 1.26
[3/70] mean_loss : 1.25
[4/70] mean_loss : 1.25
[4/70] mean_loss : 1.25
[5/70] mean_loss : 1.21
[5/70] mean_loss : 1.23
[6/70] mean_loss : 1.21
[6/70] mean_loss : 1.23
[7/70] mean_loss : 1.24
[7/70] mean_loss : 1.23
[8/70] mean_loss : 1.23
[8/70] mean_loss : 1.23
[9/70] mean_loss : 1.23
[9/70] mean_loss : 1.23
[10/70] mean_loss : 1.21
[10/70] mean_loss : 1.22
[11/70] mean_loss : 1.21
[11/70] mean_loss : 1.23
[12/70] mean_loss : 1.16
[12/70] mean_loss : 1.22
[13/70] mean_loss : 1.24
[13/70] mean_loss : 1.22
[14/70] mean_loss : 1.22
[14/70] mean_loss : 1.22
[15/70] mean_loss : 1.22
[15/70] mean_loss : 1.22
[16/70] mean_loss : 1.18
[16/70] mean_loss : 1.22
[17/70] mean_loss : 1.25
[17/70] mean_loss : 1.22
[18/70] mean_loss : 1.23
[18/70] mean_loss : 1.22
[19/70] mean_loss : 1.21
[19/70] mean_loss : 1.21
[20/70] mean_loss : 1.20
[20/70] mean_loss : 1.21
[21/70] mean_loss : 1.21
[21/70] mean_loss : 1.21
[22/70] mean_loss : 1.26
[22/70] mean_loss : 1.21
[23/70] mean_loss : 1.23
[23/70] mean_loss : 1.20
[24/70] mean_loss : 1.23
[24/70] mean_loss : 1.18
[25/70] mean_loss : 1.16
[25/70] mean_loss : 1.16
[26/70] mean_loss : 1.14
[26/70] mean_loss : 1.14
[27/70] mean_loss : 1.11
[27/70] mean_loss : 1.10
[28/70] mean_loss : 1.05
[28/70] mean_loss : 1.07
[29/70] mean_loss : 1.02
[29/70] mean_loss : 1.03
[30/70] mean_loss : 1.07
[30/70] mean_loss : 0.99
[31/70] mean_loss : 0.92
[31/70] mean_loss : 0.95
[32/70] mean_loss : 0.89
[32/70] mean_loss : 0.91
[33/70] mean_loss : 0.84
[33/70] mean_loss : 0.86
[34/70] mean_loss : 0.80
[34/70] mean_loss : 0.81
[35/70] mean_loss : 0.79
[35/70] mean_loss : 0.75
[36/70] mean_loss : 0.71
[36/70] mean_loss : 0.71
[37/70] mean_loss : 0.65
[37/70] mean_loss : 0.66
[38/70] mean_loss : 0.63
[38/70] mean_loss : 0.62
[39/70] mean_loss : 0.55
[39/70] mean_loss : 0.57
[40/70] mean_loss : 0.49
[40/70] mean_loss : 0.53
[41/70] mean_loss : 0.53
[41/70] mean_loss : 0.48
[42/70] mean_loss : 0.49
[42/70] mean_loss : 0.44
[43/70] mean_loss : 0.50
[43/70] mean_loss : 0.41
[44/70] mean_loss : 0.31
[44/70] mean_loss : 0.37
[45/70] mean_loss : 0.24
[45/70] mean_loss : 0.33
[46/70] mean_loss : 0.28
[46/70] mean_loss : 0.30
[47/70] mean_loss : 0.23
[47/70] mean_loss : 0.27
[48/70] mean_loss : 0.26
[48/70] mean_loss : 0.24
[49/70] mean_loss : 0.24
[49/70] mean_loss : 0.21
[50/70] mean_loss : 0.16
[50/70] mean_loss : 0.18
[51/70] mean_loss : 0.12
[51/70] mean_loss : 0.17
[52/70] mean_loss : 0.10
[52/70] mean_loss : 0.14
[53/70] mean_loss : 0.17
[53/70] mean_loss : 0.13
[54/70] mean_loss : 0.07
[54/70] mean_loss : 0.10
[55/70] mean_loss : 0.10
[55/70] mean_loss : 0.09
[56/70] mean_loss : 0.05
[56/70] mean_loss : 0.09
[57/70] mean_loss : 0.08
[57/70] mean_loss : 0.07
[58/70] mean_loss : 0.05
[58/70] mean_loss : 0.06
[59/70] mean_loss : 0.09
[59/70] mean_loss : 0.06
[60/70] mean_loss : 0.07
[60/70] mean_loss : 0.06
[61/70] mean_loss : 0.05
[61/70] mean_loss : 0.08
[62/70] mean_loss : 0.11
[62/70] mean_loss : 0.09
[63/70] mean_loss : 0.08
[63/70] mean_loss : 0.09
[64/70] mean_loss : 0.05
[64/70] mean_loss : 0.04
[65/70] mean_loss : 0.02
[65/70] mean_loss : 0.03
[66/70] mean_loss : 0.02
[66/70] mean_loss : 0.02
[67/70] mean_loss : 0.01
Early Stopping!
18.2
Error occurred
[0/70] mean_loss : 2.97
[0/70] mean_loss : 1.18
[1/70] mean_loss : 0.90
[1/70] mean_loss : 0.89
[2/70] mean_loss : 0.87
[2/70] mean_loss : 0.86
[3/70] mean_loss : 0.83
[3/70] mean_loss : 0.69
[4/70] mean_loss : 0.52
[4/70] mean_loss : 0.47
[5/70] mean_loss : 0.29
[5/70] mean_loss : 0.28
[6/70] mean_loss : 0.21
[6/70] mean_loss : 0.23
[7/70] mean_loss : 0.19
[7/70] mean_loss : 0.21
[8/70] mean_loss : 0.21
[8/70] mean_loss : 0.20
[9/70] mean_loss : 0.21
[9/70] mean_loss : 0.19
[10/70] mean_loss : 0.17
[10/70] mean_loss : 0.18
[11/70] mean_loss : 0.22
[11/70] mean_loss : 0.18
[12/70] mean_loss : 0.19
[12/70] mean_loss : 0.17
[13/70] mean_loss : 0.15
[13/70] mean_loss : 0.17
[14/70] mean_loss : 0.18
[14/70] mean_loss : 0.16
[15/70] mean_loss : 0.15
[15/70] mean_loss : 0.16
[16/70] mean_loss : 0.18
[16/70] mean_loss : 0.16
[17/70] mean_loss : 0.21
[17/70] mean_loss : 0.16
[18/70] mean_loss : 0.14
[18/70] mean_loss : 0.16
[19/70] mean_loss : 0.13
[19/70] mean_loss : 0.16
[20/70] mean_loss : 0.16
[20/70] mean_loss : 0.16
[21/70] mean_loss : 0.11
[21/70] mean_loss : 0.16
[22/70] mean_loss : 0.13
[22/70] mean_loss : 0.16
[23/70] mean_loss : 0.20
[23/70] mean_loss : 0.15
[24/70] mean_loss : 0.15
[24/70] mean_loss : 0.15
[25/70] mean_loss : 0.15
[25/70] mean_loss : 0.15
[26/70] mean_loss : 0.16
[26/70] mean_loss : 0.15
[27/70] mean_loss : 0.16
[27/70] mean_loss : 0.15
[28/70] mean_loss : 0.14
[28/70] mean_loss : 0.15
[29/70] mean_loss : 0.16
[29/70] mean_loss : 0.15
[30/70] mean_loss : 0.17
[30/70] mean_loss : 0.15
[31/70] mean_loss : 0.17
[31/70] mean_loss : 0.15
[32/70] mean_loss : 0.14
[32/70] mean_loss : 0.14
[33/70] mean_loss : 0.13
[33/70] mean_loss : 0.07
[34/70] mean_loss : 0.01
[34/70] mean_loss : 0.01
Early Stopping!
100.0
Error occurred
[0/70] mean_loss : 3.07
[0/70] mean_loss : 0.95
[1/70] mean_loss : 0.70
[1/70] mean_loss : 0.70
[2/70] mean_loss : 0.70
[2/70] mean_loss : 0.70
[3/70] mean_loss : 0.68
[3/70] mean_loss : 0.64
[4/70] mean_loss : 0.61
[4/70] mean_loss : 0.55
[5/70] mean_loss : 0.54
[5/70] mean_loss : 0.48
[6/70] mean_loss : 0.47
[6/70] mean_loss : 0.44
[7/70] mean_loss : 0.40
[7/70] mean_loss : 0.44
[8/70] mean_loss : 0.45
[8/70] mean_loss : 0.44
[9/70] mean_loss : 0.42
[9/70] mean_loss : 0.44
[10/70] mean_loss : 0.47
[10/70] mean_loss : 0.44
[11/70] mean_loss : 0.43
[11/70] mean_loss : 0.43
[12/70] mean_loss : 0.41
[12/70] mean_loss : 0.43
[13/70] mean_loss : 0.48
[13/70] mean_loss : 0.43
[14/70] mean_loss : 0.39
[14/70] mean_loss : 0.43
[15/70] mean_loss : 0.42
[15/70] mean_loss : 0.43
[16/70] mean_loss : 0.42
[16/70] mean_loss : 0.43
[17/70] mean_loss : 0.38
[17/70] mean_loss : 0.43
[18/70] mean_loss : 0.38
[18/70] mean_loss : 0.42
[19/70] mean_loss : 0.40
[19/70] mean_loss : 0.42
[20/70] mean_loss : 0.40
[20/70] mean_loss : 0.42
[21/70] mean_loss : 0.38
[21/70] mean_loss : 0.41
[22/70] mean_loss : 0.41
[22/70] mean_loss : 0.41
[23/70] mean_loss : 0.37
[23/70] mean_loss : 0.40
